# Date Created: 21-Feb-2023 (10:40:05),,,,
Elapsed [s],T1 [C],T2 [C],T3 [C],T4 [C]
396.3,-18.7,999,-17.9,-17.3
401.3,-18.7,999,-17.9,-17.2
406.3,-18.7,999,-17.9,-17.2
411.3,-18.7,999,-17.8,-17.2
416.3,-18.5,999,-17.9,-17.1
421.3,-18.5,999,-17.9,-17.1
426.3,-18.6,999,-17.9,-17.1
431.4,-18.4,999,-17.9,-17.1
436.4,-18.4,999,-18,-17.2
441.4,-18.4,999,-18,-17.1
446.4,-18.4,999,-18,-17.1
451.4,-18.4,999,-18,-17.2
456.4,-18.4,999,-18.1,-17.1
461.5,-18.7,999,-18.1,-17.1
466.5,-18.4,999,-18.1,-17.1
471.5,-18.4,999,-18.1,-17.1
476.5,-18.4,999,-18.1,-17.2
481.5,-18.4,999,-18.1,-17.1
486.5,-18.4,999,-18.2,-17.2
491.5,-18.5,999,-18.2,-17.2
496.5,-18.5,999,-18.2,-17.2
501.6,-18.6,999,-18.2,-17.2
506.6,-18.5,999,-18.3,-17.1
511.6,-18.7,999,-18.3,-17.2
516.6,-18.7,999,-18.3,-17.2
521.6,-18.4,999,-18.3,-17.1
526.6,-18.7,999,-18.4,-17.1
531.7,-18.7,999,-18.3,-17.2
536.6,-18.7,999,-18.4,-17.2
0.1,-37.5,999,-36.9,-36.9
5.2,-37.5,999,-36.9,-36.9
10.2,-37.5,999,-36.9,-37
15.3,-37.5,999,-36.9,-36.9
20.2,-37.5,999,-36.9,-37
25.2,-37.5,999,-36.9,-36.9
30.3,-37.5,999,-36.9,-36.9
35.3,-37.5,999,-36.9,-37
40.3,-37.5,999,-36.9,-37
45.3,-37.5,999,-36.9,-37
50.3,-37.5,999,-36.9,-36.9
55.4,-37.5,999,-36.9,-37
60.4,-37.5,999,-36.9,-36.9
65.4,-37.5,999,-36.9,-36.9
70.4,-37.5,999,-36.9,-36.9
75.4,-37.5,999,-36.9,-36.9
80.4,-37.5,999,-36.9,-36.9
85.4,-37.5,999,-36.8,-36.9
90.4,-37.5,999,-36.8,-36.9
95.4,-37.5,999,-36.8,-36.9
100.4,-37.5,999,-36.8,-36.9
105.5,-37.5,999,-36.8,-36.9
110.5,-37.5,999,-36.8,-36.8
115.5,-37.4,999,-36.8,-36.8
120.5,-37.4,999,-36.7,-36.8
125.5,-37.4,999,-36.7,-36.8
130.5,-37.4,999,-36.7,-36.8
135.5,-37.4,999,-36.7,-36.7
140.5,-37.3,999,-36.7,-36.7
145.5,-37.4,999,-36.6,-36.6
150.6,-37.3,999,-36.5,-36.6
155.6,-37.2,999,-36.5,-36.5
160.6,-37.2,999,-36.5,-36.6
165.5,-37.1,999,-36.4,-36.5
170.6,-37.1,999,-36.3,-36.4
